ats,slug,company_name,status,last_checked_at,last_successful_fetch_at,jobs_last_run,jobs_relevant_last_run,jobs_inserted_last_run,jobs_updated_last_run,jobs_irrelevant_last_run,jobs_partial_last_run,jobs_old_last_run,fetch_failed_last_run,yield_last_run,times_seen_empty,times_failed,last_relevant_at,runs_since_last_relevant,consecutive_fetch_failures,manually_disabled,scrape_tier,scrape_every_runs,bucket_last_run,last_error,provider,company,_existingjobsbysourceid
ashby,orchard,Orchard,auto,2026-04-15T13:57:24.292Z,2026-04-15T13:57:24.292Z,15,0,0,0,12,0,3,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Orchard,
ashby,persona.ai,Persona.Ai,auto,2026-04-15T13:57:25.071Z,2026-04-15T13:57:25.071Z,13,1,0,1,5,0,7,false,0.077,0,0,2026-04-15T13:57:25.071Z,0,0,false,low,2,productive,,ashby,Persona.Ai,
ashby,physicalintelligence,Physicalintelligence,auto,2026-04-15T13:57:25.345Z,2026-04-15T13:57:25.345Z,22,0,0,0,12,0,10,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Physicalintelligence,
ashby,pirros,Pirros,auto,2026-04-15T13:57:25.843Z,2026-04-15T13:57:25.843Z,3,0,0,0,3,0,0,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Pirros,
ashby,pivotrobotics,Pivotrobotics,auto,2026-04-15T13:57:26.487Z,2026-04-15T13:57:26.487Z,3,0,0,0,1,0,2,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Pivotrobotics,
ashby,point-one-navigation,Point One Navigation,auto,2026-04-15T13:57:27.341Z,2026-04-15T13:57:27.341Z,9,1,0,1,3,0,5,false,0.111,0,0,2026-04-15T13:57:27.341Z,0,0,false,medium,1,productive,,ashby,Point One Navigation,
ashby,poseidonaero,Poseidonaero,auto,2026-04-15T13:57:48.528Z,2026-04-15T13:57:48.528Z,15,15,9,6,0,0,0,false,1.000,0,0,2026-04-15T13:57:48.528Z,0,0,false,high,1,productive,,ashby,Poseidonaero,[object Map]
ashby,praxipal,Praxipal,auto,2026-04-15T13:57:49.288Z,2026-04-15T13:57:49.288Z,11,0,0,0,10,0,1,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Praxipal,
ashby,PrimeIntellect,PrimeIntellect,auto,2026-04-15T13:57:54.458Z,2026-04-15T13:57:54.458Z,22,0,0,0,7,0,15,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,PrimeIntellect,
ashby,prior-labs,Prior Labs,auto,2026-04-15T13:57:55.285Z,2026-04-15T13:57:55.285Z,17,0,0,0,10,0,7,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Prior Labs,
