"ats","slug","company_name","status","last_checked_at","last_successful_fetch_at","jobs_last_run","jobs_relevant_last_run","jobs_inserted_last_run","jobs_updated_last_run","jobs_irrelevant_last_run","jobs_partial_last_run","jobs_old_last_run","fetch_failed_last_run","yield_last_run","times_seen_empty","times_failed","scrape_tier","scrape_every_runs","bucket_last_run","last_error","provider","company"
"ashby","swan","Swan","auto","2026-04-10T15:02:23.958Z","2026-04-10T15:02:23.958Z","8","2","0","2","0","0","6","false","0.250","0","0","medium","1","productive","","ashby","Swan"
"ashby","swarmer","Swarmer","auto","2026-04-10T15:02:25.903Z","2026-04-10T15:02:25.903Z","16","11","0","11","4","0","1","false","0.688","0","0","high","1","productive","","ashby","Swarmer"
"ashby","T-Robotics","T Robotics","auto","2026-04-10T15:02:26.574Z","2026-04-10T15:02:26.574Z","6","0","0","0","6","0","0","false","0.000","0","0","low","2","irrelevant_only","","ashby","T Robotics"
"ashby","taekus","Taekus","auto","2026-04-10T15:02:26.723Z","2026-04-10T15:02:26.723Z","7","0","0","0","4","0","3","false","0.000","0","0","low","2","irrelevant_only","","ashby","Taekus"
"ashby","tandem","Tandem","auto","2026-04-10T15:02:28.499Z","2026-04-10T15:02:28.499Z","27","0","0","0","5","0","22","false","0.000","0","0","low","2","irrelevant_only","","ashby","Tandem"
"ashby","tempo-xyz","Tempo Xyz","auto","2026-04-10T15:02:29.849Z","2026-04-10T15:02:29.849Z","17","0","0","0","12","0","5","false","0.000","0","0","low","2","irrelevant_only","","ashby","Tempo Xyz"
"ashby","tensorwave","Tensorwave","auto","2026-04-10T15:02:31.194Z","2026-04-10T15:02:31.194Z","30","0","0","0","17","0","13","false","0.000","0","0","low","2","irrelevant_only","","ashby","Tensorwave"
"ashby","TerraFirma","TerraFirma","auto","2026-04-10T15:02:32.306Z","2026-04-10T15:02:32.306Z","22","0","0","0","3","0","19","false","0.000","0","0","low","2","irrelevant_only","","ashby","TerraFirma"
"ashby","terranova","Terranova","auto","2026-04-10T15:02:33.726Z","2026-04-10T15:02:33.726Z","13","0","0","0","10","0","3","false","0.000","0","0","low","2","irrelevant_only","","ashby","Terranova"
"ashby","teza-technologies","Teza Technologies","auto","2026-04-10T15:02:34.731Z","2026-04-10T15:02:34.731Z","14","0","0","0","5","0","9","false","0.000","0","0","low","2","irrelevant_only","","ashby","Teza Technologies"
"ashby","the-exploration-company","The Exploration Company","auto","2026-04-10T15:02:38.441Z","2026-04-10T15:02:38.441Z","105","0","0","0","72","0","33","false","0.000","0","0","low","2","irrelevant_only","","ashby","The Exploration Company"
"ashby","treeswift","Treeswift","auto","2026-04-10T15:02:39.667Z","2026-04-10T15:02:39.667Z","12","1","0","1","10","0","1","false","0.083","0","0","low","2","productive","","ashby","Treeswift"
"ashby","tycho-ai","Tycho Ai","auto","2026-04-10T15:02:41.323Z","2026-04-10T15:02:41.323Z","7","5","5","0","2","0","0","false","0.714","0","0","high","1","productive","","ashby","Tycho Ai"
"ashby","unitxlabs","Unitxlabs","auto","2026-04-10T15:02:42.182Z","2026-04-10T15:02:42.182Z","10","1","0","1","8","0","1","false","0.100","0","0","medium","1","productive","","ashby","Unitxlabs"
"ashby","upvest","Upvest","auto","2026-04-10T15:02:42.424Z","2026-04-10T15:02:42.424Z","32","0","0","0","25","0","7","false","0.000","0","0","low","2","irrelevant_only","","ashby","Upvest"
"ashby","vanta","Vanta","auto","2026-04-10T15:02:42.869Z","2026-04-10T15:02:42.869Z","163","0","0","0","102","0","61","false","0.000","0","0","low","2","irrelevant_only","","ashby","Vanta"
"ashby","venn","Venn","auto","2026-04-10T15:02:43.028Z","2026-04-10T15:02:43.028Z","12","0","0","0","12","0","0","false","0.000","0","0","low","2","irrelevant_only","","ashby","Venn"
"ashby","Verne Robotics","Verne Robotics","auto","2026-04-10T15:02:43.852Z","2026-04-10T15:02:43.852Z","4","0","0","0","4","0","0","false","0.000","0","0","low","2","irrelevant_only","","ashby","Verne Robotics"
"ashby","voxel","Voxel","auto","2026-04-10T15:02:44.652Z","2026-04-10T15:02:44.652Z","9","0","0","0","8","0","1","false","0.000","0","0","low","2","irrelevant_only","","ashby","Voxel"
"ashby","voyant-photonics","Voyant Photonics","auto","2026-04-10T15:02:46.487Z","2026-04-10T15:02:46.487Z","22","5","0","5","2","0","15","false","0.227","0","0","medium","1","productive","","ashby","Voyant Photonics"
"ashby","watneyrobotics","Watneyrobotics","auto","2026-04-10T15:02:47.590Z","2026-04-10T15:02:47.590Z","8","0","0","0","0","0","8","false","0.000","0","0","low","2","old_only","","ashby","Watneyrobotics"
"ashby","witnessai","Witnessai","auto","2026-04-10T15:02:48.206Z","2026-04-10T15:02:48.206Z","5","0","0","0","4","0","1","false","0.000","0","0","low","2","irrelevant_only","","ashby","Witnessai"
"ashby","xbowcareers","Xbowcareers","auto","2026-04-10T15:02:49.820Z","2026-04-10T15:02:49.820Z","33","0","0","0","33","0","0","false","0.000","0","0","low","2","irrelevant_only","","ashby","Xbowcareers"
"ashby","yumaai","Yumaai","auto","2026-04-10T15:02:50.280Z","2026-04-10T15:02:50.280Z","4","0","0","0","0","0","4","false","0.000","0","0","low","2","old_only","","ashby","Yumaai"
"ashby","zauber","Zauber","auto","2026-04-10T15:02:50.942Z","2026-04-10T15:02:50.942Z","7","0","0","0","3","0","4","false","0.000","0","0","low","2","irrelevant_only","","ashby","Zauber"
"ashby","zefir","Zefir","auto","2026-04-10T15:02:52.433Z","2026-04-10T15:02:52.433Z","17","0","0","0","8","0","9","false","0.000","0","0","low","2","irrelevant_only","","ashby","Zefir"
"ashby","zydro","Zydro","auto","2026-04-10T15:02:52.959Z","2026-04-10T15:02:52.959Z","3","0","0","0","0","0","3","false","0.000","0","0","low","2","old_only","","ashby","Zydro"
"ashby","zyphra","Zyphra","auto","2026-04-10T15:02:54.589Z","2026-04-10T15:02:54.589Z","14","0","0","0","14","0","0","false","0.000","0","0","low","2","irrelevant_only","","ashby","Zyphra"
"greenhouse","24hourhomecare","24hourhomecare","auto","2026-04-10T15:02:55.058Z","2026-04-10T15:02:55.058Z","34","0","0","0","34","0","0","false","0.000","0","0","low","2","irrelevant_only","","greenhouse","24hourhomecare"
"greenhouse","aevexaerospace","Aevexaerospace","auto","2026-04-10T15:03:00.718Z","2026-04-10T15:03:00.718Z","106","32","0","32","74","0","0","false","0.302","0","0","medium","1","productive","","greenhouse","Aevexaerospace"
"greenhouse","agilityrobotics","Agilityrobotics","auto","2026-04-10T15:03:04.372Z","2026-04-10T15:03:04.372Z","47","0","0","0","47","0","0","false","0.000","0","0","low","2","irrelevant_only","","greenhouse","Agilityrobotics"
"greenhouse","alpineeagle","Alpineeagle","auto","2026-04-10T15:03:07.934Z","2026-04-10T15:03:07.934Z","20","18","0","18","2","0","0","false","0.900","0","0","high","1","productive","","greenhouse","Alpineeagle"
